depth_profile,Gravity_value,Gz
0.074081372987038,9.663205732045,Gz
0.29444673476068,9.8380788268424,Gz
0.839209909239,10.498706580049,Gz
1.6044587962541,11.256478176086,Gz
2.4625174118182,12.072537850034,Gz
3.1580939633373,12.830309446071,Gz
3.7960278774945,13.31606410448,Gz
4.4572744012694,13.743521823914,Gz
5.072016056572,14.209844169331,Gz
5.6633495707642,14.792742670571,Gz
6.0924063114471,15.181344625085,Gz
6.7889154716217,15.336785406891,Gz
7.9850916124908,15.27849732898,Gz
9.2046104369485,15.142488860166,Gz
10.075576493501,15.123056547174,Gz
10.598495908431,14.889895374466,Gz
10.958758056472,14.715022279668,Gz
11.702644518393,14.268132247243,Gz
12.586487928242,13.432640260303,Gz
13.330891121887,12.655436351274,Gz
14.482326770522,11.489639348794,Gz
15.552722246126,10.168392703446,Gz
16.750974204421,8.7694256671938,Gz
17.8798794548,7.156729771225,Gz
19.101744844742,5.5051781103368,Gz
20.393348041422,3.8147618234651,Gz
21.929020294594,1.9883370677795,Gz
23.045925920809,0.62823465751102,Gz
24.244503506684,-0.98446123845773,Gz
25.233402225472,-2.1696905539287,Gz
26.292208671704,-3.5103695122693,Gz
27.560409009413,-5.0842007822547,Gz
28.781823138873,-6.4443031925231,Gz
29.456247851693,-7.0272016937628,Gz
30.223482306782,-7.5518209781551,Gz
31.258108992262,-8.2707279482088,Gz
32.351155216885,-9.222804952035,Gz
33.478947346183,-10.116585016886,Gz
34.444287499127,-11.08808547264,Gz
34.979332171124,-11.651560521952,Gz
35.432910173998,-12.098450554378,Gz
36.222951084981,-12.351044040078,Gz
37.070869997833,-12.487052508892,Gz
38.348482720135,-12.642493290698,Gz
39.637408414172,-12.603628664714,Gz
40.322093166748,-12.312179414095,Gz
41.087823401936,-11.865289381669,Gz
42.294344536053,-11.107517785632,Gz
43.372412798121,-9.8834238441776,Gz
44.230080314865,-8.814770684529,Gz
45.295897686963,-7.1826424755686,Gz
46.36132926982,-5.2979296419717,Gz
47.079165471538,-3.9183949187116,Gz
47.993302342901,-1.8199532253977,Gz
49.220012605651,0.900260456203,Gz
50.388839584392,3.5038802598536,Gz
51.533992942385,6.3989581751879,Gz
52.910789264055,9.6826380450366,Gz
53.801974536931,11.606215504617,Gz
54.728381780515,13.277199478497,Gz
55.585543157254,14.676166514749,Gz
56.524135819567,15.977980847106,Gz
56.883490150783,16.386006253548,Gz
57.312431850282,16.852328598965,Gz
57.868502714355,17.707252898897,Gz
58.389682544878,18.601032963748,Gz
58.644492975579,19.028499544246,Gz
59.363983808212,19.339381107857,Gz
60.257756334378,19.591965732494,Gz
61.5580198057,19.805694592211,Gz
62.301009028796,19.941711922089,Gz
63.009307226738,19.980567687008,Gz
63.78740337936,19.941711922089,Gz
64.368391900304,19.70855074938,Gz
65.123741772413,19.358804559785,Gz
65.867302606755,19.125643387077,Gz
66.98236779377,18.950779153343,Gz
68.271474000232,18.87305876244,Gz
68.840452319012,18.892482214368,Gz
69.490421227164,19.106219935149,Gz
69.989546698024,19.242228403963,Gz
70.546735979037,19.378236872777,Gz
71.208493924956,19.475389576671,Gz
71.742280360719,19.727974201308,Gz
72.299013071669,20.155440781806,Gz
72.844317769702,20.466322345417,Gz
73.320220894017,20.602330814231,Gz
74.086372301997,20.777203909029,Gz
74.678758761888,20.680051205134,Gz
75.377042890021,19.689118436388,Gz
75.86608883355,18.834194136457,Gz
